Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Udta Punjab,2016,148,"Action, Crime, Drama",7.8,"28,010",Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor
Chhota Bheem Himalayan Adventure,2016,97,Animation,5.5,117,Rosauro Adorable,Jigna Bhardwaj,Rupa Bhimani,Sonal Kaushal
Buddha in a Traffic Jam,2016,114,"Crime, Thriller",6.7,"2,346",Vivek Agnihotri,Aanchal Dwivedi,Mahie Gill,Pallavi Joshi
Aman Ke Farishtey,2016,137,Action,6.6,23,Kader Kashmiri,Sonia Albizuri,Dev Anand,Bob Christo
Wazir,2016,103,"Action, Crime, Drama",7.1,"17,809",Bejoy Nambiar,Amitabh Bachchan,Farhan Akhtar,Aditi Rao Hydari
Love Ke Funday,2016,132,Comedy,6.6,13,Indervesh Yogee,Nivedita Chandel,Pooja Banerjee,Shaleen Bhanot
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
Ghayal Once Again,2016,127,"Action, Crime, Drama",6.3,"4,960",Sunny Deol,Sunny Deol,Soha Ali Khan,Om Puri
Bole India Jai Bhim,2016,150,Biography,7.9,20,Subodh Nagdeve,Shyam Bhimsaria,Sameer Deshpande,Jeetendra Doshi
An Insignificant Man,2016,96,"Documentary, Thriller",8.7,"1,928",Khushboo Ranka,Vinay Shukla,Arvind Kejriwal,Saurabh Bhardwaj
Bollywood Diaries,2016,125,Drama,6,257,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi
Fuddu,2016,100,"Comedy, Drama",5.4,155,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar
Railway Children,2016,120,"Crime, Drama",8,137,Prithvi Konanur,Yash Shetty,Syed Pervez,Ramachandra Hosur
Cryptic Road,2016,84,"Mystery, Sci-Fi, Thriller",7.3,23,Moosa Saleem,Hardik Kapadia,Vijay Ashok Sharma,Aastha Gautam
Mmirsa,2016,143,Drama,8,13,Hemnt Praddeep,Kabir Bedi,Souryansh Bharadwaj,Saanvi Dhiman
My Father Iqbal,2016,104,Drama,6.2,13,Suzad Iqbal Khan,Pramod Goswami,Narendra Jha,Sagar Nath Jha
Pihu,2016,91,"Drama, Thriller",6.7,"2,205",Kapri Vinod,Rahul Bagga,Pihu Myra Vishwakarma,Prerna Vishwakarma
Jango,2016,110,Mystery,2.7,11,Adam Avil,Mukesh Asopa,Jannat Ansari,Adam Avil
Chaar Sahibzaade 2 Rise of Banda Singh Bahadur,2016,134,Animation,8.6,656,Harry Baweja,Harman Baweja,Pawan Kalra,Om Puri
Great Grand Masti,2016,134,"Comedy, Drama, Fantasy",3.6,"2,393",Indra Kumar,Urvashi Rautela,Riteish Deshmukh,Vivek Oberoi
Mastizaade,2016,119,Comedy,2.4,"2,622",Milap Zaveri,Tusshar Kapoor,Vir Das,Sunny Leone
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
Kabali,2016,153,"Action, Crime, Drama",6.2,"11,886",Pa. Ranjith,Rajinikanth,Winston Chao,Radhika Apte
Pink,2016,136,"Crime, Drama, Thriller",8.1,"40,953",Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari
Tiger,2016,130,Action,6.4,45,Sartaj Singh Pannu,Sippy Gill,Ihana Dhillon,Yograj Singh
Gurgaon,2016,107,"Crime, Thriller",6.5,"1,883",Shanker Raman,Akshay Oberoi,Pankaj Tripathi,Aamir Bashir
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
Kahaani 2,2016,127,"Mystery, Thriller",6.6,"5,159",Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
Global Baba,2016,120,Thriller,5.6,184,Manoj Shidheshwari Tiwari,Pankaj Tripathi,Sandeepa Dhar,Abhimanyu Singh
A Billion Colour Story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
Shaukeen Kaminay,2016,125,"Comedy, Drama",6.1,30,Anil Chorasiya,Seema Bilong,Sunil Chourasiya,Ankit Gajera
Psycho Raman,2016,133,"Crime, Drama, Thriller",7.4,"13,418",Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala
Mumal A prophecy,2016,73,"Drama, Fantasy, Mystery",6.8,12,Esshan Katara,Masoom Shankar,Charul Bhavsar,Rituraj Singh Rathore
Tum Bin 2,2016,147,"Drama, Romance",4.8,"1,187",Anubhav Sinha,Peter Pedrero,Neha Sharma,Aditya Seal
Wajah Tum Ho,2016,136,"Drama, Mystery, Romance",4.4,"1,153",Vishal Pandya,Sharman Joshi,Sana Khaan,Gurmeet Choudhary
Lens,2016,109,"Drama, Mystery, Thriller",6.7,"1,111",Jayaprakash Radhakrishnan,Anand Sami,Jayaprakash Radhakrishnan,Misha Ghoshal
Lion,2016,118,"Biography, Drama",8,"2,20,526",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara
Chudail Story,2016,100,"Horror, Thriller",2.4,142,Surya Lakkoju,Preeti Soni,Amal Sherawat,Nidhi Bhardwaj
Shortcut Safari,2016,101,"Adventure, Drama, Mystery",6.4,70,Amitabha Singh,Jimmy Sheirgill,Aashi Rawal,Stuti Dwivedi
Traffic,2016,104,"Adventure, Drama, Thriller",6.7,"2,478",Rajesh Pillai,Manoj Bajpayee,Jimmy Sheirgill,Divya Dutta
Tope,2016,87,Drama,5.4,34,Buddhadev Dasgupta,Krishnendu Adhikari,Biswarup Biswas,Ananya Chatterjee
Jugni,2016,115,Drama,6.2,137,Shefali Bhushan,Anurita Jha,Sadhana Singh,Sugandha Garg
Pinky Beauty Parlour,2016,130,Drama,8.4,33,Akshay Singh,Sulagna Panigrahi,Vishwanath Chatterjee,Jogi Mallang
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
Chalk N Duster,2016,130,Drama,6.5,676,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar
Fredrick,2016,129,"Action, Thriller",4.9,19,Rajesh Butalia,Avinash Dhyani,Prashant Narayanan,Tulna Butalia
To B or Not to B,2016,113,"Drama, Family, Thriller",6.7,10,Vierendrra Lalit,Rahul Roy,Vivek Srivastav,Akansha Shivhare
Project Marathwada,2016,110,Drama,6.4,77,Bhavin Wadia,Om Puri,Seema Biswas,Govind Namdeo
Club Dancer,2016,125,"Action, Musical, Thriller",6.9,17,B. Prasad,Rajbeer Singh,Nish,Ajaz Khan
Warrior Savitri,2016,136,"Action, Thriller",4.1,294,Param Gill,Niharica Raizada,Rajat Barmecha,Om Puri
Miss Teacher,2016,133,Romance,3.2,235,Jayprakkash Shaw,Kamalika Chanda,Rahul Sharma,Resham Thakkar
Budhia Singh Born to Run,2016,112,"Biography, Drama, Sport",7.6,"1,393",Soumendra Padhi,Manoj Bajpayee,Mayur Mahendra Patole,Gajraj Rao
Six X,2016,133,Drama,6.9,210,Chandrakant Singh,Seema Azmi,Shweta Bhardwaj,Hrishitaa Bhatt
Yea Toh Two Much Ho Gayaa,2016,126,"Action, Comedy, Drama",3.4,115,Anwer Khan,Jimmy Sheirgill,Pooja Chopra,Arbaaz Khan
Happy Bhaag Jayegi,2016,126,"Comedy, Romance",6.5,"5,046",Mudassar Aziz,Diana Penty,Abhay Deol,Jimmy Sheirgill
Mohenjo Daro,2016,155,"Action, Adventure, Drama",5.7,"10,903",Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi
Tutak Tutak Tutiya,2016,138,"Comedy, Horror",5.5,744,A.L. Vijay,Sonu Sood,Rajiv Thakur,Rj Ajay
Mirzas Lady,2016,129,"Action, Drama, Fantasy",4.6,"1,739",Rakeysh Omprakash Mehra,Harshvardhan Kapoor,Saiyami Kher,Art Malik
Chipku,2016,135,Drama,6.8,5,Priyanka,Gouri Ash,Rakesh Bedi,Neha Pal Chowdhury
Phobia,2016,112,"Drama, Mystery, Thriller",6.9,"2,791",Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya
Dangal,2016,161,"Action, Biography, Drama",8.4,"1,65,074",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
Junooniyat,2016,155,"Drama, Romance",4.2,708,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,Gulshan Devaiah
Love Alive,2016,90,Thriller,7.4,26,Aditya Warang,Raushan Jha,Kajal Solanki,Qasim Khan
Shorgul,2016,132,Drama,5.7,268,Pranav Singh,Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana
Raaz Reboot,2016,128,"Horror, Mystery, Romance",4.4,"1,784",Vikram Bhatt,Emraan Hashmi,Kriti Kharbanda,Suzanna Mukherjee
Mumbai Central,2016,100,Family,4.8,27,Karan Radhakrishna,Chetanya Adib,Jhuma Biswas,Alibail Blackburn
417 Miles,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
MSG the Warrior Lion Heart,2016,120,"Action, Adventure, Fantasy",6.7,"7,362",Gurmeet Ram Rahim Singh,Muntazir Ahmad,Ashok Insan,Bhushan Insan
Lipstick Under My Burkha,2016,117,"Comedy, Drama",6.8,"6,373",Alankrita Shrivastava,Aahana Kumra,Ratna Pathak Shah,Konkona Sen Sharma
Gauru Journey of Courage,2016,124,Family,8.8,85,Ramkishan Choyal,Jahangir Khan,Vedshree Rao,Ila Arun
1137 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
Force 2,2016,127,"Action, Adventure, Thriller",6.2,"5,048",Abhinay Deo,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin
Veerappan,2016,125,"Action, Biography, Crime",5.3,711,Ram Gopal Varma,Sachiin Joshi,Sandeep Bharadwaj,Usha Jadhav
Rock on 2,2016,143,"Drama, Music",5,"2,006",Shujaat Saudagar,Farhan Akhtar,Shraddha Kapoor,Arjun Rampal
1920 London,2016,120,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
Santa Banta Pvt Ltd,2016,112,"Comedy, Crime, Drama",2.8,247,Akashdeep,Boman Irani,Vir Das,Neha Dhupia
Khel Toh Ab Shuru Hoga,2016,130,"Action, Thriller",5.2,10,Kunal v Singh,Ruslaan Mumtaz,Devshi Khanduri,Rohit Pathak
LoveShhuda,2016,133,"Comedy, Romance",4.5,552,Vaibhav Misra,Girish Taurani,Navneet Kaur Dhillon,Tisca Chopra
Te3n,2016,136,"Drama, Mystery, Thriller",7.3,"12,118",Ribhu Dasgupta,Amitabh Bachchan,Nawazuddin Siddiqui,Vidya Balan
Airlift,2016,130,"Drama, History",8,"53,897",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra
You Are My Sunday,2016,119,"Comedy, Drama",7.8,"1,459",Milind Dhaimade,Barun Sobti,Shahana Goswami,Avinash Tiwary
Saansein The Last Breath,2016,101,"Horror, Romance",3.1,143,Rajiv S. Ruia,Sonarika Bhadoria,Aamir Dalvi,Rajniesh Duggall
Beiimaan Love,2016,120,"Drama, Romance, Thriller",2.8,439,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber
Sarbjit,2016,131,"Biography, Drama",7.3,"4,497",Omung Kumar,Randeep Hooda,Aishwarya Rai Bachchan,Richa Chadha
Dulhan Chahi Pakistan Se,2016,159,"Action, Drama, Family",5.1,19,Rajkumar R. Pandey,Pradeep Pandey,Mukesh Rishi,Subhi Sharma
Sardaar Gabbar Singh,2016,164,"Action, Comedy, Crime",4.7,"2,361",K.S. Ravindra,Kajal Aggarwal,Tisca Chopra,Pawan Kalyan
Thats What Its All About The Journey of Prem Ratan Dhan Payo,2016,65,Documentary,4.2,10,Vidhi Kasliwal,Sooraj R. Barjatya,Swara Bhaskar,Deepak Dobriyal
BHK BhallaHallaKom,2016,122,Comedy,5.9,74,Rakesh Chaturvedi Om,Ujjwal Rana,Inshika Bedi,Manoj Pahwa
Befikre,2016,130,"Comedy, Drama, Romance",3.9,"7,185",Aditya Chopra,Ranveer Singh,Vaani Kapoor,Armaan Ralhan
The Last Tale of Kayenaat,2016,140,Thriller,5.9,22,Iqbal Baksh,Vani Vashishth,Zeeshan Khan,Aman Sandhu
Kyaa Kool Hain Hum 3,2016,124,Comedy,1.9,"4,165",Umesh Ghadge,Tusshar Kapoor,Aftab Shivdasani,Krishna Abhishek
Baar Baar Dekho,2016,141,"Action, Comedy, Drama",5.3,"6,423",Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta
Teen Taal,2016,120,Drama,7.5,27,Shakirul Alam,Gaurav Chowdhary,Shakirul Alam,Ravi Shankar Chowdhary
Fan,2016,142,"Action, Drama, Thriller",7,"43,273",Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Shriya Pilgaonkar
Madly,2016,106,"Drama, Romance",5.4,146,Bat for Lashes,Gael Garc? Bernal,Anurag Kashyap,Sebasti? Silva
Saat Uchakkey,2016,139,Comedy,5.7,760,Sanjeev Sharma,Manoj Bajpayee,Vijay Raaz,Aditi Sharma
Do Lafzon Ki Kahani,2016,128,"Action, Drama, Romance",6.5,"1,411",Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
Ki  Ka,2016,126,"Comedy, Romance",5.8,"5,407",R. Balki,Amitabh Bachchan,Arjun Kapoor,Kareena Kapoor
One Night Stand,2016,97,"Drama, Romance",3.1,"1,167",Jasmine D'Souza,Tanuj Virwani,Sunny Leone,Narendra Jetley
Direct Ishq,2016,130,"Action, Comedy, Romance",4,66,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani
The Blueberry Hunt,2016,110,"Action, Thriller",5.6,198,Anup Kurian,Kartik Elangovan,Vinay Forrt,Aahana Kumra
Aadupuliyattam,2016,145,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Mahayoddha Rama,2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Dishoom,2016,124,"Action, Adventure, Comedy",5.1,"7,100",Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
The BFG,2016,117,"Adventure, Family, Fantasy",6.4,"79,642",Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton
Ishq Forever,2016,125,Romance,4,96,Sameer Sippy,Krishna Chaturvedi,Ruhi Singh,Javed Jaffrey
Dil Toh Deewana Hai,2016,135,"Drama, Romance",6.5,17,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj
Youth,2016,124,Drama,7,15,Rakesh Kudalkar,Akshay Waghmare,Neha Mahajan,Akshay Mhatre
Sanam Re,2016,120,"Drama, Romance",3.2,"2,936",Divya Khosla Kumar,Rishi Kapoor,Pulkit Samrat,Yami Gautam
Sanam Teri Kasam,2016,154,"Drama, Musical, Romance",7.4,"10,855",Radhika Rao,Vinay Sapru,Harshvardhan Rane,Mawra Hocane
Dil Sala Sanki,2016,110,Romance,5,21,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill
Housefull 3,2016,140,"Action, Comedy, Romance",5,"8,653",Sajid,Farhad Samji,Akshay Kumar,Abhishek Bachchan
Freaky Ali,2016,120,"Comedy, Sport",4.9,"2,642",Sohail Khan,Nawazuddin Siddiqui,Arbaaz Khan,Amy Jackson
Rebellious Flower,2016,110,"Biography, Drama",6.8,241,Krishan Hooda,Prince Shah,Shashank Singh,Mantra Mugdh
Hotel Salvation,2016,102,"Comedy, Drama",7.1,"2,009",Shubhashish Bhutiani,Adil Hussain,Lalit Behl,Geetanjali Kulkarni
Badman,2016,83,"Comedy, Drama",4.3,30,Soumik Sen,Gulshan Grover,Rishi Kapoor,Farah Khan
Laal Rang,2016,147,"Comedy, Crime, Drama",8,"4,340",Syed Ahmad Afzal,Randeep Hooda,Akshay Oberoi,Rajniesh Duggall
Neerja,2016,122,"Biography, Drama, Thriller",7.6,"21,470",Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku
Baaghi,2016,133,"Action, Romance, Thriller",5.2,"7,912",Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani
Sultan,2016,170,"Action, Drama, Sport",7,"41,777",Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
Terror,2016,130,"Action, Crime, Thriller",6.8,71,Satish Kasetty,Meka Srikanth,Nikita Thukral,Ravi Varma
Hello Mumbai Salaam Mumbai,2016,107,"Comedy, Drama, Romance",3.8,"1,045",Ghorban Mohammadpour,Mohammad Reza Golzar,Dia Mirza,Benyamin Bahadori
Flying Colors,2016,84,Drama,6,13,Raja Krishna,Bhavna Mali,Eknath Kamble,Pawan
Naam Hai Akira,2016,137,"Action, Thriller",5.9,"3,892",A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma
Bhouri,2016,140,Drama,6.7,403,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand
Fever,2016,123,"Crime, Mystery",4.7,645,Rajeev Jhaveri,Rajeev Khandelwal,Gauahar Khan,Gemma Atkinson
Dhara 302,2016,148,Drama,4.4,16,Jitendra Singh Naruka,Muntazir Ahmad,Dipti Dhotre,Dipti
Feast of Varanasi,2016,97,"Crime, Drama, Thriller",5.5,27,Rajan Kumar Patel,Adil Hussain,Holly Gilbert,Tannishtha Chatterjee
Love Shagun,2016,120,"Comedy, Romance",4.4,104,Saandesh Nayak,Anuj Sachdeva,Nidhi Subbaiah,Manit Joura
MS Dhoni The Untold Story,2016,184,"Biography, Drama, Sport",7.9,"43,713",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher
Autohead,2016,97,"Crime, Drama",5.9,355,Rohit Mittal,Adamya,Sunny Banerjee,Ronjini Chakraborty
Teraa Surroor,2016,106,"Action, Drama, Romance",2.6,840,Shawn Arranha,Himesh Reshammiya,Farah Karimaee,Naseeruddin Shah
Awesome Mausam,2016,131,Romance,3.6,5,Yogesh Bharadwaj,Vaarssh Bhatnagar,Sunil Chaurasiyaa,Suhasini Mulay
Banjo,2016,137,"Action, Drama, Music",4.9,"1,105",Ravi Jadhav,Riteish Deshmukh,Nargis Fakhri,Aditya Kumar
Kerry on Kutton,2016,125,Drama,5.7,216,Ashok Yadav,Bhavana Singh Chauhan,Satyajeet Dubey,Aradhana Jagota
Madaari,2016,133,"Adventure, Drama, Thriller",7.6,"13,676",Nishikant Kamat,Irrfan Khan,Jimmy Sheirgill,Vishesh Bansal
Jab Tum Kaho,2016,94,Drama,5.6,14,Shankar Vikram,Parvin Dabas,Ambalika Sarkar,Amit Bhardwaj
The Other Side of the Door,2016,96,Horror,5.3,"17,337",Johannes Roberts,Sarah Wayne Callies,Jeremy Sisto,Sofia Rosinsky
Azhar,2016,130,"Biography, Drama, Sport",5.7,"5,328",Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai
Dongri Ka Raja,2016,139,"Action, Drama, Musical",3.9,155,Hadi Abrar,Ronit Roy,Ashmit Patel,Gashmeer Mahajani
Rustom,2016,148,"Crime, Drama, Thriller",7.1,"24,285",Dharmendra Suresh Desai,Manoj Bajpayee,Akshay Kumar,Sharad Kelkar
Tere Bin Laden Dead Or Alive,2016,104,Comedy,4.3,860,Abhishek Sharma,Deepak Chandra,Manish Paul,Pradhuman Singh
Fitoor,2016,131,"Drama, Romance",5.4,"4,526",Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu
Rocky Handsome,2016,119,"Action, Crime, Drama",6.8,"7,647",Nishikant Kamat,John Abraham,Nishikant Kamat,Sharad Kelkar
Jai Gangaajal,2016,149,"Crime, Drama",5.6,"2,455",Prakash Jha,Priyanka Chopra Jonas,Prakash Jha,Manav Kaul
Sunshine Music Tours  Travels,2016,110,Comedy,6.5,31,Shailendra Singh,Sunny Kaushal,Ashrut Jain,Ajit Singh Arora
Saala Khadoos,2016,109,"Action, Drama, Sport",7.6,"11,638",Sudha Kongara,Madhavan,Nassar,Radha Ravi
Rough Book,2016,100,Drama,6.8,193,Ananth Narayan Mahadevan,Tannishtha Chatterjee,Mukesh Hariawala,Amaan f Khan
Dolly Ki Doli,2015,98,"Comedy, Romance",4.5,"2,880",Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub
Sabki Bajegi Band,2015,108,"Comedy, Drama",3.5,68,Anirudh Chawla,Swara Bhaskar,Shaurya Chauhan,Jhanvi Desai
Hunterrr,2015,141,"Comedy, Romance",7,"5,798",Harshavardhan Kulkarni,Gulshan Devaiah,Radhika Apte,Sai Tamhankar
Moods of Crime,2015,115,Crime,5.8,28,Sunil Shah,Ayaz Ahmed,Uppekha Jain,Anima Pagare
Do Chehre,2015,120,Action,5.3,20,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan
Pyaar Ka Punchnama 2,2015,137,"Comedy, Drama, Romance",7.2,"14,259",Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar
Roy,2015,146,"Action, Drama, Mystery",3.3,"7,240",Vikramjit Singh,Arjun Rampal,Jacqueline Fernandez,Ranbir Kapoor
Cinderella,2015,113,Fantasy,6.7,9,Kiran Nakti,Mangesh Desai,Vinit Bonde,Janardhan Parab
Dirty Politics,2015,130,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
Run Bhuumi  Champs Dont Cry,2015,107,Family,5.7,7,Prashant Singh Rathore,Himani Attri,Mansoob Haider,Hema Singh
Guddu Ki Gun,2015,130,Comedy,4.7,672,Sheershak Anand,Shantanu Ray Chhibber,Kunal Khemu,Payel Sarkar
Indias Daughter,2015,63,"Documentary, Biography, Crime",8.2,"1,998",Leslee Udwin,Asha Devi,Badri Singh,Satendra
Room The Mystery,2015,90,Thriller,3.5,31,Faisal Khan,Atif Jamil,Ibra Khan,Roselyn Dsouza
Chor Bazaari,2015,107,Comedy,4.7,22,Rajiv S. Ruia,Asrani,Kurush Deboo,Manoj Joshi
I Am Mr Mother,2015,90,"Drama, Romance",5.7,23,I.A. Siddique,Mehul Adwani,Dheeraj Bishnoi,Munmun Guha
Kaagaz Ke Fools,2015,109,Comedy,3.9,136,Anil Chaudhary,Vinay Pathak,Mugdha Godse,Raima Sen
Dulaara,2015,160,Drama,5.2,13,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh
Prem Ratan Dhan Payo,2015,164,"Action, Drama, Musical",4.4,"19,913",Sooraj R. Barjatya,Salman Khan,Sonam Kapoor,Neil Nitin Mukesh
Chinar DaastaanEIshq,2015,116,Romance,6.8,62,Sharique Minhaj,Parveen Kaur,Faisal Khan,Shahbaaz Khan
Gour Hari Dastaan The Freedom File,2015,114,"Biography, Drama",7.4,533,Ananth Narayan Mahadevan,Vinay Pathak,Konkona Sen Sharma,Ranvir Shorey
Coffee Bloom,2015,90,Drama,5.9,101,Manu Warrier,Arjun Mathur,Sugandha Garg,Ishwari Bose-Bhattacharya
Drishyam,2015,163,"Crime, Drama, Mystery",8.2,"74,326",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
I Love NY,2015,127,"Comedy, Romance",3.4,648,Radhika Rao,Vinay Sapru,Sunny Deol,Kangana Ranaut
Dozakh in Search of Heaven,2015,92,Drama,7,62,Zaigham Imam,Garrick Chaudhary,Roobie,Lalit Mohan Tiwari
Dum Laga Ke Haisha,2015,110,"Comedy, Drama, Romance",7.5,"18,540",Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Once Upon a Time in Bihar,2015,122,Thriller,6.7,193,Nitin Chandra,Kranti Prakash Jha,Pankaj Jha,Ajay Kumar
Pocket Gangsters,2015,110,"Romance, Thriller",6.5,13,Hemant Nilim Das,Mukesh S. Bhatt,Shivangi Mehra,Madhur Mittal
Mohalla Assi,2015,150,"Comedy, Drama",6.8,"1,601",Chandra Prakash Dwivedi,Sunny Deol,Sakshi Tanwar,Ravi Kishan
Yash Raaj aur Film,2015,117,Comedy,6.1,14,Ranveer Pratap Singh,Vishal Acharya,Kirit Aray,Akshay Bhagat
Saari Raat,2015,83,Drama,5.6,23,Aparna Sen,Ritwick Chakraborty,Anjan Dutt,Konkona Sen Sharma
Silence the Court Is in Session,2015,105,Drama,6.2,13,Ritesh Menon,Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta
Dunno Y 2 Life Is a Moment,2015,95,"Drama, Romance",6.3,33,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma
I Am Offended,2015,102,Documentary,8.6,17,Jaideep Varma,Tanmay Bhat,Cyrus Broacha,Vir Das
Saavi A Bonded Bride,2015,150,Drama,6.7,9,Rajeev Kumar,Jaspinder Cheema,Manni Boparai,Daljinder Basran
Monsoon,2015,106,"Comedy, Drama, Romance",3.3,61,Suzad Iqbal Khan,Shawar Ali,Gaurav Gautam,Pramod Goswami
Hum Tum Dushman Dushman,2015,114,"Drama, War",6.4,18,Iqbal Durrani,Mashaal Durrani,Sohini Pal,Mukesh Rishi
NH 10,2015,115,"Action, Crime, Drama",7.2,"12,421",Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar
Dilwale,2015,158,"Action, Comedy, Drama",5.1,"32,366",Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Shaandaar,2015,144,"Comedy, Drama, Romance",3.5,"5,250",Vikas Bahl,Shahid Kapoor,Alia Bhatt,Pankaj Kapur
Welcome Back,2015,152,"Action, Comedy, Crime",4.2,"5,656",Anees Bazmee,John Abraham,Anil Kapoor,Nana Patekar
Jaanisaar,2015,124,"Drama, Romance",5,116,Muzaffar Ali,Imran Abbas,Pernia Qureshi,Muzaffar Ali
Jazbaa,2015,119,"Action, Crime, Drama",5.8,"3,375",Sanjay Gupta,Aishwarya Rai Bachchan,Irrfan Khan,Shabana Azmi
Welcome 2 Karachi,2015,131,"Action, Comedy, War",4.3,"1,123",Ashish R. Mohan,Arshad Warsi,Jackky Bhagnani,Lauren Gottlieb
Hey Bro,2015,113,"Action, Comedy, Drama",2.9,169,Ajay Chandhok,Ganesh Acharya,Maninder Singh,Nupur Sharma
X Past Is Present,2015,105,"Drama, Mystery, Romance",5.2,631,Hemant Gaba,Pratim D. Gupta,Sudhish Kamath,Nalan Kumarasamy
Shackle,2015,99,Drama,7.4,20,Dedipya Joshii,Tanima Bhattacharya,Chetan Sharma,Harish Hariaudh
Hero,2015,145,"Action, Drama, Musical",3.5,"2,398",Nikkhil Advani,Sooraj Pancholi,Athiya Shetty,Tigmanshu Dhulia
Muzaffarnagar Baaqi Hai,2015,136,Documentary,6.7,82,Nakul Singh Sawhney,Shubhradeep Chakravorty,Meera Chaudhary,Nakul Singh Sawhney
Dharam Sankat Mein,2015,129,Comedy,6.3,"2,118",Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor
Pappu Ki Pugdandi,2015,83,Drama,6,13,Seema Desai,Anupam Bhattacharya,Jaswinder Gardner,Master Hardik Khanna
Haraamkhor,2015,90,"Drama, Romance",6.4,"3,764",Shlok Sharma,Nawazuddin Siddiqui,Shweta Tripathi,Trimala Adhikari
